132	136	0	0	1	0				1			0	1970-01-01	0	1970-01-01
133	137	870070	864500	2	864500	DECLARACIONES, ADVERTENCIAS Y CONSIDERACIONES PREVIAS.- El presente avalúo se fundamenta en la Ley de Valuación para el Estado de Tabasco, Artículos 110, 111, de la Ley de Hacienda Municipal. Éste avalúo no tendrá validez para ningún propósito distinto al especificado en el mismo, así como si carece de los sellos y firmas del valuador autorizado El presente avalúo tendrá una validez de seis meses a partir de la fecha de firma del mismo, siempre que no cambien las características físicas del inmueble o las condiciones generales del mercado inmobiliario. No se verificó la propiedad legal ni la existencia de gravámenes o créditos fiscales que pudiera tener el inmueble. 1. Son análisis, opiniones y conclusiones de tipo profesional y están solamente limitadas por los supuestos y condiciones limitantes. 2. Los análisis, opiniones y conclusiones reportados corresponden a un estudio profesional totalmente imparcial. 3. No existe por nuestra parte ningún interés presente o futuro inmediato en la propiedad valuada. 4. Los honorarios no están relacionados con el hecho de concluir un valor predeterminado o en la dirección  que favorezca la causa del cliente, el monto del valor estimado, la obtención de un resultado estipulado o la ocurrencia de un evento subsecuente. 5. Personalmente hice la  inspección de los bienes objeto de este avaluó y manifestamos que los resultados serán guardados con absoluta confidencialidad. 6.El valor comercial del inmueble  esta basado en el análisis de la comparación directa de mercado.			1	187.175.60.50	dsl-187-175-60-50-dyn.prod-infinitum.com.mx	0	1970-01-01	46	2014-08-01
134	138	473475.29	483560	2	483560	DEL ANÁLISIS DE LOS VALORES OBTENIDOS POR LOS DISTINTOS ENFOQUES Y CONSIDERANDO EL DESARROLLO DEL MERCADO EN LA ZONA DE INFLUENCIA DEL INMUEBLE, SE DESPRENDE QUE EL VALOR OBTENIDO POR EL ENFOQUE DE MERCADO, ES EL MEJOR POR QUE REFLEJA SU VALOR COMERCIAL; CIFRA QUE ES EN NÚMERO REDONDO ES: 			1	189.133.80.88	dsl-189-133-80-88-dyn.prod-infinitum.com.mx	0	1970-01-01	41	2014-08-02
135	139	0	0	1	0				1			0	1970-01-01	0	1970-01-01
136	140	0	0	1	0				1			0	1970-01-01	0	1970-01-01
129	133	513225	513230	2	513230	El presente avalúo se fundamenta en la Ley de Valuación para el Estado de Tabasco, Artículos 110, 111, de la Ley de Hacienda Municipal. Éste avalúo no tendrá validez para ningún propósito distinto al especificado en el mismo, así como si carece de los sellos y firmas del valuador autorizado El presente avalúo tendra una validez de seis meses a partir de la fecha de firma del mismo, siempre que no cambien las características físicas del inmueble o las condiciones generales del mercado inmobiliario. No se verificó la propiedad legal ni la existencia de gravames o créditos fiscales que pudiera tener el inmueble. 1. Son análisis, opiniones y conclusiones de tipo profesional y están solamente limitadas por los supuestos y condiciones limitantes. 2. Los análisis, opiniones y conclusiones reportados corresponden a un estudio profesional totalmente imparcial. 3. No existe por nuestra parte ningún interés presente o futuro inmediato en la propiedad valuada. 4. Los honorarios no están relacionados con el hecho de concluir un valor predeterminado o en la dirección  que favorezca la causa del cliente, el monto del valor estimado, la obtención de un resultado estipulado o la ocurrencia de un evento subsecuente. 5. Personalmente hice la  inspección de los bienes objeto de este avaluó y manifestamos que los resultados serán guardados con absoluta confidencialidad. 6.El valor comercial del inmueble  esta basado en el análisis de la comparación directa de mercado.			1	189.133.203.0	189.133.203.0	0	1970-01-01	1	2014-07-25
161	165	444928.85	450240	2	450240	DECLARACIONES, ADVERTENCIAS Y CONSIDERACIONES PREVIAS.- El presente avalúo se fundamenta en la Ley de Valuación para el Estado de Tabasco, Artículos 110, 111, de la Ley de Hacienda Municipal. Éste avalúo no tendrá validez para ningún propósito distinto al especificado en el mismo, así como si carece de los sellos y firmas del valuador autorizado El presente avalúo tendrá una validez de seis meses a partir de la fecha de firma del mismo, siempre que no cambien las características físicas del inmueble o las condiciones generales del mercado inmobiliario. No se verificó la propiedad legal ni la existencia de gravamen o créditos fiscales que pudiera tener el inmueble. 1. Son análisis, opiniones y conclusiones de tipo profesional y están solamente limitadas por los supuestos y condiciones limitantes. 2. Los análisis, opiniones y conclusiones reportados corresponden a un estudio profesional totalmente imparcial. 3. No existe por nuestra parte ningún interés presente o futuro inmediato en la propiedad valuada. 4. Los honorarios no están relacionados con el hecho de concluir un valor predeterminado o en la dirección  que favorezca la causa del cliente, el monto del valor estimado, la obtención de un resultado estipulado o la ocurrencia de un evento subsecuente. 5. Personalmente hice la  inspección de los bienes objeto de este avaluó y manifestamos que los resultados serán guardados con absoluta confidencialidad. 6.El valor comercial del inmueble  esta basado en el análisis de la comparación directa de mercado.			1	187.175.64.113	dsl-187-175-64-113-dyn.prod-infinitum.com.mx	0	1970-01-01	46	2014-08-08
131	135	350824.23	0	1	350824.23	TODA VEZ QUE EL INMUEBLE ES ATÍPICO, POR TENER TECHO DE LÁMINA Y POR NO EXISTIR UN MERCADO ACTIVO DE INMUEBLES A LA VENTA, CON LAS CARACTERÍSTICAS, FÍSICAS QUE PRESENTA EL INMUEBLE EN ESTUDIO, SE PROCEDE A LA APLICACIÓN DEL ANÁLISIS FÍSICO O DE COSTO; EL CUAL ESTÁ BASADO EN EL PRINCIPIO ECONÓMICO DE "SUSTITUCIÓN", ESTABLECE QUE EL VALOR DE UNA PROPIEDAD ES COMPARADO AL COSTO DE ADQUISICIÓN DE UNA NUEVA IGUALMENTE DESEABLE Y CON UTILIDAD O FUNCIONALIDAD SEMEJANTE Al BIEN QUE SE ESTÁ VALUANDO; POR LO TANTO DEL ANÁLISIS DEL VALOR OBTENIDOS POR EL ENFOQUES DE COSTO Y CONSIDERANDO EL DESARROLLO DEL MERCADO EN LA ZONA DE INFLUENCIA DEL INMUEBLE; SE DESPRENDE QUE EL VALOR OBTENIDO POR EL ENFOQUE DE COSTO, ES EL QUE MEJOR REFLEJA SU VALOR COMERCIAL; CIFRA QUE ES LA ANTERIOR EXPRESADA:			1	189.133.124.206	dsl-189-133-124-206-dyn.prod-infinitum.com.mx	0	1970-01-01	41	2014-07-31
248	252	52000	0	1	52000	DECLARACIONES, ADVERTENCIAS Y CONSIDERACIONES PREVIAS.- El presente avalúo se fundamenta en la Ley de Valuación para el Estado de Tabasco, Artículos 110, 111, de la Ley de Hacienda Municipal. Éste avalúo no tendrá validez para ningún propósito distinto al especificado en el mismo, así como si carece de los sellos y firmas del valuador autorizado El presente avalúo tendra una validez de seis meses a partir de la fecha de firma del mismo, siempre que no cambien las características físicas del inmueble o las condiciones generales del mercado inmobiliario. No se verificó la propiedad legal ni la existencia de gravamen o créditos fiscales que pudiera tener el inmueble. 1. Son análisis, opiniones y conclusiones de tipo profesional y están solamente limitadas por los supuestos y condiciones limitantes. 2. Los análisis, opiniones y conclusiones reportados corresponden a un estudio profesional totalmente imparcial. 3. No existe por nuestra parte ningún interés presente o futuro inmediato en la propiedad valuada. 4. Los honorarios no están relacionados con el hecho de concluir un valor predeterminado o en la dirección  que favorezca la causa del cliente, el monto del valor estimado, la obtención de un resultado estipulado o la ocurrencia de un evento subsecuente. 5. Personalmente hice la  inspección de los bienes objeto de este avaluó y manifestamos que los resultados serán guardados con absoluta confidencialidad. 6.El valor comercial del inmueble  esta basado en el análisis de la comparación directa de mercado.			1	187.175.68.161	dsl-187-175-68-161-dyn.prod-infinitum.com.mx	0	1970-01-01	46	2014-09-02
130	134	326520	326520	1	326520	Toda vez que se trata de un predio urbano,  en interior sin construcción alguna, por lo cual para determinar su valor comercial, se aplica el enfoque físico o de costo el cual consiste en el principio económico, sustitución, establece el valor de una propiedad es comparando el costo de adquisición nueva igualmente deseable y con utilidad y funcionalidad semejante al bien comparado bien informado que se está valuando, por lo cual un comprador bien informado no pagara por una propiedad más del precio de compra de otra similar. por la tanto de acuerdo al análisis de los valores obtenidos mediante el estudio de mercado y considerando el desarrollo de mercado en la zona de influencia del inmueble en estudio se desprende que el valor obtenido mediante el análisis de Homologación de los comparables es el que mejor refleja su valor comercial, cifra que es la establecida anteriormente.			1	189.133.85.195	dsl-189-133-85-195-dyn.prod-infinitum.com.mx	0	1970-01-01	41	2014-08-04
